Movie_Title,Year,Director,Actors,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,source_row_id,movie_title,release_year,decade,director_clean,lead_actor,actor_2,actor_3,actor_4,imdb_rating_10,runtime_minutes,runtime_bucket,censor_rating_clean,gross_usd_millions,gross_bucket,all_genres,main_genre_clean,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci_fi,genre_sport,genre_thriller,genre_war,genre_western,preference_action_score,preference_comedy_score,preference_drama_score,preference_sci_fi_score,preference_romance_score,preference_documentary_score,rating_score,recency_score,length_score,popularity_score,family_friendly_score,director_dataset_popularity_score,actor_dataset_popularity_score,mood_relax,mood_funny,mood_emotional,mood_adrenaline,mood_mind_bending,overview_clean,recommendation_explanation_base,data_source_note
Kantara,2022,Rishab Shetty,"Rishab Shetty, Sapthami Gowda, Kishore Kumar G., Achyuth Kumar",9.3,148,UA,Gross Unkown,Action," Adventure,  Drama",1,Kantara,2022,2020s,Rishab Shetty,Rishab Shetty,Sapthami Gowda,Kishore Kumar G.,Achyuth Kumar,9.3,148,Long,UA,,Unknown,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.93,1.0,0.683,0.0,0.75,0.1,0.167,0.302,0.206,0.831,0.72,0.444,"Kantara is a 2022 Action, Adventure, Drama film directed by Rishab Shetty and starring Rishab Shetty, Sapthami Gowda, Kishore Kumar G.. IMDb rating: 9.3/10, runtime: 148 minutes.",high IMDb rating; strong action/adventure signal; strong drama signal,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",9.0,152,UA,$534.86M,Action," Crime,  Drama",2,The Dark Knight,2008,2000s,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,9.0,152,Long,UA,534.86,Blockbuster,"Action, Crime, Drama",Action,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.35,0.0,0.9,0.863,0.65,0.918,0.75,1.0,1.0,0.297,0.203,0.828,0.788,0.28,"The Dark Knight is a 2008 Action, Crime, Drama film directed by Christopher Nolan and starring Christian Bale, Heath Ledger, Aaron Eckhart. IMDb rating: 9.0/10, runtime: 152 minutes, reported gross: $534.86M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",9.0,201,U,$377.85M,Action," Adventure,  Drama",3,The Lord of the Rings: The Return of the King,2003,2000s,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,9.0,201,Epic,U,377.85,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.9,0.814,0.242,0.868,1.0,0.9,1.0,0.274,0.24,0.828,0.85,0.438,"The Lord of the Rings: The Return of the King is a 2003 Action, Adventure, Drama film directed by Peter Jackson and starring Elijah Wood, Viggo Mortensen, Ian McKellen. IMDb rating: 9.0/10, runtime: 201 minutes, reported gross: $377.85M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",8.8,148,UA,$292.58M,Action," Adventure,  Sci-Fi",4,Inception,2010,2010s,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,8.8,148,Long,UA,292.58,High,"Action, Adventure, Sci-Fi",Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.88,0.882,0.683,0.83,0.75,1.0,1.0,0.215,0.201,0.088,0.975,0.626,"Inception is a 2010 Action, Adventure, Sci-Fi film directed by Christopher Nolan and starring Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page. IMDb rating: 8.8/10, runtime: 148 minutes, reported gross: $292.58M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",8.8,179,UA,$342.55M,Action," Adventure,  Drama",5,The Lord of the Rings: The Two Towers,2002,2000s,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,8.8,179,Epic,UA,342.55,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.88,0.804,0.425,0.853,0.75,0.9,1.0,0.264,0.201,0.826,0.848,0.433,"The Lord of the Rings: The Two Towers is a 2002 Action, Adventure, Drama film directed by Peter Jackson and starring Elijah Wood, Ian McKellen, Viggo Mortensen. IMDb rating: 8.8/10, runtime: 179 minutes, reported gross: $342.55M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",8.8,178,U,$315.54M,Action," Adventure,  Drama",6,The Lord of the Rings: The Fellowship of the Ring,2001,2000s,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,8.8,178,Epic,U,315.54,High,"Action, Adventure, Drama",Action,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.35,0.35,0.0,0.88,0.794,0.433,0.841,1.0,0.9,1.0,0.302,0.238,0.826,0.846,0.433,"The Lord of the Rings: The Fellowship of the Ring is a 2001 Action, Adventure, Drama film directed by Peter Jackson and starring Elijah Wood, Ian McKellen, Orlando Bloom. IMDb rating: 8.8/10, runtime: 178 minutes, reported gross: $315.54M.",high IMDb rating; strong action/adventure signal; strong drama signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Matrix,1999,"Directors:Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",8.7,136,A,$171.48M,Action, Sci-Fi,7,The Matrix,1999,1990s,"Directors:Lana Wachowski, Lilly Wachowski",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,8.7,136,Long,A,171.48,High,"Action, Sci-Fi",Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.87,0.775,0.783,0.753,0.25,0.6,1.0,0.155,0.124,0.087,0.963,0.624,"The Matrix is a 1999 Action, Sci-Fi film directed by Directors:Lana Wachowski, Lilly Wachowski and starring Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss. IMDb rating: 8.7/10, runtime: 136 minutes, reported gross: $171.48M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",8.7,124,UA,$290.48M,Action," Adventure,  Fantasy",8,The Empire Strikes Back,1980,1980s,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,8.7,124,Standard,UA,290.48,High,"Action, Adventure, Fantasy",Action,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.65,0.0,0.0,0.87,0.588,0.883,0.829,0.75,0.3,1.0,0.245,0.2,0.087,0.904,0.467,"The Empire Strikes Back is a 1980 Action, Adventure, Fantasy film directed by Irvin Kershner and starring Mark Hamill, Harrison Ford, Carrie Fisher. IMDb rating: 8.7/10, runtime: 124 minutes, reported gross: $290.48M.",high IMDb rating; strong action/adventure signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",8.6,137,A,$204.84M,Action, Sci-Fi,9,Terminator 2: Judgment Day,1991,1990s,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,8.6,137,Long,A,204.84,High,"Action, Sci-Fi",Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.86,0.696,0.775,0.778,0.25,0.7,1.0,0.154,0.123,0.086,0.967,0.622,"Terminator 2: Judgment Day is a 1991 Action, Sci-Fi film directed by James Cameron and starring Arnold Schwarzenegger, Linda Hamilton, Edward Furlong. IMDb rating: 8.6/10, runtime: 137 minutes, reported gross: $204.84M.",high IMDb rating; strong action/adventure signal; strong sci-fi signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
Star Wars,1977,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",8.6,121,U,$322.74M,Action," Adventure,  Fantasy",10,Star Wars,1977,1970s,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,8.6,121,Standard,U,322.74,High,"Action, Adventure, Fantasy",Action,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.65,0.0,0.0,0.86,0.559,0.908,0.845,1.0,0.6,1.0,0.286,0.236,0.086,0.907,0.465,"Star Wars is a 1977 Action, Adventure, Fantasy film directed by George Lucas and starring Mark Hamill, Harrison Ford, Carrie Fisher. IMDb rating: 8.6/10, runtime: 121 minutes, reported gross: $322.74M.",high IMDb rating; strong action/adventure signal; high box-office popularity,"Derived from uploaded Kaggle IMDb_Genres.csv fields: title, year, director, actors, rating, runtime, gross and genres."
